Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity
1044.4,1039.4,1064.4,1038,1049.8,1049.45,1051.43,4167720
1049.45,1052,1087.85,1049.2,1082.4,1081.65,1075.73,8520014
1081.65,1085.45,1093.8,1074.35,1081.25,1081.8,1085.68,4486466
1081.8,1088,1101.9,1086,1091.75,1090.35,1094.53,4118875
1090.35,1090.9,1100.95,1087.1,1098.15,1098.85,1096.18,3530281
1098.85,1098,1110,1083.25,1090.75,1092.75,1100.08,5016615
1092.75,1099.4,1100.9,1074.6,1085,1082,1087.33,8271973
1082,1087.7,1107.2,1080.5,1097.15,1096.25,1094.42,6794099
1096.25,1121,1124.9,1089.25,1092,1093.2,1102.97,6973910
1093.2,1095.4,1095.4,1070.3,1073.25,1074.85,1078.47,4654108
1074.85,1082,1084.9,1062.65,1067.8,1065.3,1072.87,4557947
1065.3,1077.9,1107,1075,1105.05,1105.05,1094.63,5557273
1105.05,1114,1117.5,1100.3,1102.1,1105.7,1108.92,1458927
1105.7,1113.9,1119,1100.55,1111.3,1111.85,1111.42,5112060
1111.85,1112.25,1120.5,1097.25,1106,1108.55,1108.94,3522480
1108.55,1106.7,1116.9,1099.2,1103.2,1102.2,1108.42,2719925
1102.2,1106,1111.8,1076,1080.8,1079.9,1091.5,2900734
1079.9,1080.15,1087.4,1057,1060,1061.85,1068.62,4373231
1061.85,1067.1,1067.9,1038.2,1054.8,1054.7,1050.29,3676745
1054.7,1059,1059,1026.55,1029,1030.5,1038.54,4533561
1030.5,1049.8,1049.8,1014,1031.05,1032.95,1032.57,5206393
1032.95,1036,1036,987.1,993.9,996.25,1010.74,5674916
996.25,1003.5,1016.45,997.2,1014,1012.25,1008.99,4333195
1012.25,1004.65,1005,975,993.5,995.6,992.53,7569264
995.6,999,1017.8,986.05,988,996.05,1006.59,4503970
996.05,1002,1003,973,986.3,979.5,987.43,6654697
979.5,985,990.4,958.3,964,962.35,970.98,7003643
962.35,969.5,1002.45,962.4,998.8,998.4,988.7,5350926
998.4,999.8,1008.7,981.1,986.4,985.6,991.29,6968054
985.6,985,997.4,983.05,989.5,988.8,989.77,4280638
988.8,999,1013.45,995.05,1011.7,1011.15,1003.87,5676667
1011.15,1014,1024,998,1010,1005.9,1012.08,4489664
1005.9,1015.85,1030,1013,1018.15,1020.15,1023.39,4066554
1020.15,1020,1039.7,1020,1029.05,1030.75,1032.36,5119800
1030.75,1024.9,1027.75,1011.15,1020.9,1020.55,1019.49,3885305
1020.55,1024.55,1033.85,978.75,986,984.5,1006.71,7249786
984.5,986.8,1030,979.35,1019.5,1023.9,1010.61,6064152
1023.9,1024.05,1046,1010,1041.9,1041.75,1027.64,3848074
1041.75,1043,1060,1042,1055.6,1055.25,1053.11,4590209
1055.25,1054,1064,1036,1052.95,1053.9,1052.31,4899915
1053.9,1057.7,1060,1040.05,1057.75,1056.85,1053.16,3550077
1056.85,1045,1068,1044.6,1058.05,1056.75,1058.32,3624895
1056.75,1059.9,1074.9,1058.25,1073.2,1073.15,1067.45,3677847
1073.15,1072.8,1075,1048.35,1055.6,1056.05,1062,3458953
1056.05,1057.8,1064.7,1050.5,1061.25,1059.4,1058.88,3335014
1059.4,1053,1064.5,1050,1059.55,1059.7,1058.13,2160796
1059.7,1058.3,1068.8,1051.15,1052.9,1055.25,1060.51,1321679
1055.25,1056.3,1059.7,1042.25,1046.4,1047.9,1049.9,2024641
1047.9,1048.3,1055,1046.3,1050,1048.6,1050.21,2556591
1048.6,1052.4,1055.75,1046.25,1051.2,1051.2,1051.3,3328572
1051.2,1058.05,1066.5,1053.2,1058,1058.7,1060.46,2279759
1058.7,1065,1066.5,1052.6,1054.4,1055.6,1059.73,2379838
1055.6,1060,1079.9,1057.3,1076,1077.1,1069.5,5033831
1077.1,1080,1090,1070,1075.1,1075.8,1081.42,5930189
1075.8,1078,1091.4,1074.55,1084.75,1085.6,1082.75,4974697
1085.6,1081.3,1087.75,1058,1067,1065.4,1069.47,4085949
1065.4,1065.4,1070.45,1021.2,1035.35,1033.45,1050.71,4223855
1033.45,1040,1048.7,998.6,1022,1013.75,1026.3,4833870
1013.75,1020.65,1035.65,1003,1029.7,1030.8,1019.66,5301987
1030.8,1030,1039.15,1011.1,1015.95,1015.35,1023.38,5562896
1015.35,1014.05,1029.8,998,998.15,1001.5,1012.62,4368638
1001.5,1003,1008,992.05,998.95,997.9,1000.13,3210798
997.9,1004.85,1008,990,996.9,994.85,996.6,3399381
994.85,999.6,1005,975,981.4,980.15,993.27,5369775
980.15,977.6,977.6,954.55,968.65,969.85,966.86,9450384
969.85,975,992.5,973,987.2,986.8,985.11,4463927
986.8,995.1,995.9,964.1,972.55,971.6,973.67,5084310
971.6,977.1,984.95,956.25,958.4,958.5,970.32,4646080
958.5,966,967.4,940,943.85,942.7,952.7,6424365
942.7,945,945.9,902,917.8,913,919.74,7738844
913,908.85,928.85,903.1,919.8,919.3,918.4,5790572
